ID;COUNTRY;ISO2;ISO3;LOG_TYPE;CATEGORY;MEASURE;COMMENTS;DATE_IMPLEMENTED;SOURCE;SOURCE_TYPE;LINK;ENTRY_DATE
24;Argentina;AR;ARG;Introduction-extension of measures;Movement restrictions;International flights suspension;International flights suspension;12/03/2020;Ministry of Foreign Affairs - France;Government;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#;14/03/2020
25;Argentina;AR;ARG;Introduction-extension of measures;Movement restrictions;Visa restrictions;Visa restrictions;11/03/2020;Ministry of Foreign Affairs - Francce;Government;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#;14/03/2020
26;Argentina;AR;ARG;Introduction-extension of measures;Public health measures;Isolation and quarantine policies;Isolation and quarantine policies;12/03/2020;Ministry of Foreign Affairs - Francce;Government;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#;14/03/2020
847;Argentina;AR;ARG;Introduction-extension of measures;Social distancing;Limit public gatherings;Limit public gatherings;12/03/2020;Ministry of Health ;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;20/03/2020
849;Argentina;AR;ARG;Introduction-extension of measures;Movement restrictions;Visa restrictions;Visa restrictions;15/03/2020;Ministry of Foreign Affairs - France;Government;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/;20/03/2020
868;Argentina;AR;ARG;Introduction-extension of measures;Movement restrictions;Domestic travel restrictions;Domestic travel restrictions;19/03/2020;Ministry of Foreign Affairs - US;Government;https://ar.usembassy.gov/covid-19/;20/03/2020
869;Argentina;AR;ARG;Introduction-extension of measures;Social distancing;Limit public gatherings;Limit public gatherings;19/03/2020;Ministry of Foreign Affairs - US;Government;https://ar.usembassy.gov/covid-19/;20/03/2020
873;Argentina;AR;ARG;Introduction-extension of measures;Social distancing;Closure of businesses and public services;Closure of businesses and public services;16/03/2020;Ministry of Health — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;20/03/2020
875;Argentina;AR;ARG;Introduction-extension of measures;Governance and socio-economic measures;Economic measures;Economic measures;16/03/2020;Ministry of Health — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;20/03/2020
876;Argentina;AR;ARG;Introduction-extension of measures;Governance and socio-economic measures;Economic measures;Economic measures;17/03/2020;Ministry of Health — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;20/03/2020
877;Argentina;AR;ARG;Introduction-extension of measures;Public health measures;Strengthening the public health system;Strengthening the public health system;18/03/2020;Ministry of Health — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;20/03/2020
878;Argentina;AR;ARG;Introduction-extension of measures;Lockdown;Partial lockdown;Partial lockdown;19/03/2020;Ministry of Health — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;20/03/2020
879;Argentina;AR;ARG;Introduction-extension of measures;Public health measures;Awareness campaigns;Awareness campaigns;17/02/2020;Ministry of Health — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;20/03/2020
2093;Argentina;AR;ARG;Introduction-extension of measures;Governance and socio-economic measures;Economic measures;Economic measures;20/03/2020;Government — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;24/03/2020
2094;Argentina;AR;ARG;Introduction-extension of measures;Governance and socio-economic measures;Economic measures;Economic measures;23/03/2020;Government — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;24/03/2020
2095;Argentina;AR;ARG;Introduction-extension of measures;Governance and socio-economic measures;State of emergency declared;State of emergency declared;19/03/2020;US Embassy;Government;https://ar.usembassy.gov/covid-19/;24/03/2020
2417;Argentina;AR;ARG;Introduction-extension of measures;Social distancing;Schools closure ;Schools closure ;16/03/2020;Government — Argentina;Government;https://www.argentina.gob.ar/coronavirus/medidas-gobierno;26/03/2020
