positivas;pcr_positivas;rapidas_positivas;negativas;muestras;estables_aisladas_domiciliarias;hospitalizadas_altas;hospitalizadas_estables;hospitalizadas_pronostico_reservadas;created_at
23;23;0;0;129;21;0;0;1;13/03/2020
28;28;0;0;206;26;0;7;3;14/03/2020
37;37;0;0;273;26;0;7;2;15/03/2020
58;58;0;0;354;42;0;9;5;16/03/2020
111;111;0;0;762;95;0;9;5;17/03/2020
168;168;0;312;762;149;0;10;6;18/03/2020
260;260;0;412;1153;236;3;12;5;19/03/2020
426;426;0;533;1670;399;3;10;7;20/03/2020
532;532;0;649;2051;502;3;5;15;21/03/2020
789;789;0;872;2360;701;3;54;17;22/03/2020
981;981;0;1091;2780;824;3;95;41;23/03/2020
1082;1082;0;1225;3618;919;3;78;55;24/03/2020
1211;1211;0;1387;4290;1028;3;87;64;25/03/2020
1403;1403;0;1722;5090;1214;3;71;81;26/03/2020
1627;1627;0;1941;5915;1376;3;113;94;27/03/2020
1835;1835;0;2100;6615;1553;3;121;110;28/03/2020
1924;1924;0;2199;6992;1562;3;191;110;29/03/2020
1966;1966;0;2253;7451;1544;54;206;100;30/03/2020
2302;2302;0;2526;8251;1857;58;208;100;31/03/2020
2758;2758;0;2833;9019;2301;58;191;110;01/04/2020
3163;3163;0;3139;9604;2753;65;103;122;02/04/2020
3368;3368;0;3288;10317;2912;71;112;128;03/04/2020
3465;3465;0;3369;11309;2666;100;388;172;04/04/2020
3646;3646;0;3603;12386;2687;100;521;158;05/04/2020
3747;3747;0;3843;13039;3066;100;234;156;06/04/2020
3995;3995;0;3956;14406;3333;140;156;146;07/04/2020
4450;4450;0;4208;15526;3744;140;178;146;08/04/2020
4965;4965;0;4674;19102;4019;339;196;139;09/04/2020
7161;7161;0;6496;21568;6102;368;223;171;10/04/2020
7257;7257;0;6944;22649;6123;411;224;184;11/04/2020
7466;7466;0;7118;23635;6267;501;196;169;12/04/2020
7529;7529;0;7297;24553;6256;597;200;121;13/04/2020
7603;7603;0;7495;25347;6212;696;197;129;14/04/2020
