iso_code,ISO2,continent,location,date,total_tests
ARG,AR,South America,Argentina,8/4/2020,13330
ARG,AR,South America,Argentina,9/4/2020,14850
ARG,AR,South America,Argentina,10/4/2020,16379
ARG,AR,South America,Argentina,11/4/2020,18027
ARG,AR,South America,Argentina,13/4/2020,19758
ARG,AR,South America,Argentina,14/4/2020,22805
ARG,AR,South America,Argentina,15/4/2020,24374
ARG,AR,South America,Argentina,16/4/2020,26457
ARG,AR,South America,Argentina,17/4/2020,28650
ARG,AR,South America,Argentina,18/4/2020,30942
ARG,AR,South America,Argentina,19/4/2020,32712
ARG,AR,South America,Argentina,20/4/2020,34568
ARG,AR,South America,Argentina,21/4/2020,36611
ARG,AR,South America,Argentina,22/4/2020,39228
ARG,AR,South America,Argentina,23/4/2020,41786
ARG,AR,South America,Argentina,24/4/2020,44654
ARG,AR,South America,Argentina,25/4/2020,47406
ARG,AR,South America,Argentina,26/4/2020,49905
ARG,AR,South America,Argentina,27/4/2020,51900
ARG,AR,South America,Argentina,28/4/2020,53600
ARG,AR,South America,Argentina,29/4/2020,56058
ARG,AR,South America,Argentina,30/4/2020,58685
ARG,AR,South America,Argentina,1/5/2020,61530
ARG,AR,South America,Argentina,2/5/2020,63866
ARG,AR,South America,Argentina,3/5/2020,65813
ARG,AR,South America,Argentina,4/5/2020,67920
ARG,AR,South America,Argentina,5/5/2020,69718
ARG,AR,South America,Argentina,6/5/2020,72315
ARG,AR,South America,Argentina,7/5/2020,75198
ARG,AR,South America,Argentina,8/5/2020,77901
ARG,AR,South America,Argentina,9/5/2020,80729
ARG,AR,South America,Argentina,10/5/2020,83018
ARG,AR,South America,Argentina,11/5/2020,85158
ARG,AR,South America,Argentina,12/5/2020,87547
ARG,AR,South America,Argentina,13/5/2020,90474
ARG,AR,South America,Argentina,14/5/2020,93673
ARG,AR,South America,Argentina,15/5/2020,96893
ARG,AR,South America,Argentina,16/5/2020,100362
ARG,AR,South America,Argentina,17/5/2020,103220
ARG,AR,South America,Argentina,18/5/2020,105829
ARG,AR,South America,Argentina,20/5/2020,112370
ARG,AR,South America,Argentina,22/5/2020,121278
ARG,AR,South America,Argentina,23/5/2020,125893
ARG,AR,South America,Argentina,24/5/2020,129418
ARG,AR,South America,Argentina,26/5/2020,136662
ARG,AR,South America,Argentina,27/5/2020,140218
ARG,AR,South America,Argentina,28/5/2020,145081
ARG,AR,South America,Argentina,29/5/2020,150486
ARG,AR,South America,Argentina,31/5/2020,160070
ARG,AR,South America,Argentina,1/6/2020,164084
ARG,AR,South America,Argentina,3/6/2020,172947
ARG,AR,South America,Argentina,4/6/2020,178448
ARG,AR,South America,Argentina,5/6/2020,183862
ARG,AR,South America,Argentina,6/6/2020,189278
ARG,AR,South America,Argentina,7/6/2020,193923
ARG,AR,South America,Argentina,8/6/2020,198520
ARG,AR,South America,Argentina,9/6/2020,203051
ARG,AR,South America,Argentina,10/6/2020,208519
ARG,AR,South America,Argentina,11/6/2020,214807
ARG,AR,South America,Argentina,12/6/2020,221305
ARG,AR,South America,Argentina,13/6/2020,228324
ARG,AR,South America,Argentina,14/6/2020,234370
ARG,AR,South America,Argentina,15/6/2020,239941
ARG,AR,South America,Argentina,16/6/2020,245059
ARG,AR,South America,Argentina,17/6/2020,250615
ARG,AR,South America,Argentina,19/6/2020,264604
BOL,BO,South America,Bolivia,14/3/2020,26
BOL,BO,South America,Bolivia,15/3/2020,33
BOL,BO,South America,Bolivia,16/3/2020,45
BOL,BO,South America,Bolivia,17/3/2020,50
BOL,BO,South America,Bolivia,18/3/2020,51
BOL,BO,South America,Bolivia,19/3/2020,84
BOL,BO,South America,Bolivia,20/3/2020,111
BOL,BO,South America,Bolivia,21/3/2020,139
BOL,BO,South America,Bolivia,22/3/2020,228
BOL,BO,South America,Bolivia,23/3/2020,273
BOL,BO,South America,Bolivia,24/3/2020,277
BOL,BO,South America,Bolivia,25/3/2020,334
BOL,BO,South America,Bolivia,26/3/2020,442
BOL,BO,South America,Bolivia,27/3/2020,516
BOL,BO,South America,Bolivia,28/3/2020,559
BOL,BO,South America,Bolivia,29/3/2020,574
BOL,BO,South America,Bolivia,30/3/2020,697
BOL,BO,South America,Bolivia,31/3/2020,779
